durationEpisode,editor,genre,img,nbEpisode,officialWebsite,origin,public,story,titleFr,titleJp
? mins,Pierrot,Action Aventure Comédie Fantastique Amitié Amour Démon École Guerre Paranormal Rivalité Violence,https://anime.icotaku.com/uploads/animes/anime_6347/fiche/affiche_0OsxCRuoTpWe3tY.jpg,?,http://bleach-20th-anniversary.com/,Manga,Shōnen,"Adolescent de quinze ans, Ichigo Kurosaki possède un don particulier : celui de voir les esprits. Un jour il croise la route d'une belle shinigami (un être spirituel) en train de pourchasser une ""âme perdue"", un esprit maléfique qui hante notre monde et n'arrive pas à trouver le repos. Mise en difficulté par son ennemi, la jeune fille décide alors de prêter une partie de ses pouvoirs à Ichigo, mais ce dernier hérite finalement de toute la puissance de la shinigami. Contraint d'assumer son nouveau statut, Ichigo va devoir gérer ses deux vies : celle de lycéen ordinaire, et celle de chasseur de démons...",BLEACH's Thousand Year Blood War Arc,BLEACH 千年血戦篇
? mins,Yostar Pictures,Action Drame Science-Fiction,https://anime.icotaku.com/uploads/animes/anime_7044/fiche/affiche_Mp0Fxg5vXguuXEL.jpg,?,https://arknights-anime.jp/,Jeu vidéo,Shōnen,"Pour échapper à de multiples catastrophes pouvant se produire n’importe où et n'importe quand, les habitants de la planète Terra n’ont pas d’autres choix qu’une vie de nomade. Chaque site frappé par ces catastrophes laisse derrière lui un mystérieux minerai, l’Oripathy, source d’énergie providentielle, mais aussi responsable d’une maladie qui cristallise les corps. Les personnes infectées sont généralement soumises à l'isolement, quand elles ne sont pas persécutées ou envoyées au travail forcé. Mais des voix s’élèvent contre le traitement qui leur est réservé, notamment l’organisation Rhodes Island qui cherche un remède contre cette maladie… ",Arknights: PRELUDE TO DAWN,アークナイツ 黎明前奏
